Date,ON,1W,1M,2M,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y
11/5/2025,0.040553306,0.040514462,0.040203336,0.039569662,0.038965681,0.03787553,0.03684685,0.035785145,0.033670957,0.033360465,0.033934052,0.035102672,0.036901883,0.039508298
11/4/2025,0.041871207,0.041457143,0.040437271,0.039736868,0.039172664,0.037948491,0.036856112,0.035794649,0.03354302,0.033214201,0.03381859,0.034998835,0.036829607,0.039433482
11/3/2025,0.042783599,0.042062585,0.04064057,0.039901203,0.039338677,0.038154886,0.037097461,0.036047491,0.033834445,0.033474364,0.034037515,0.035220548,0.037043653,0.039612981
10/31/2025,0.040954219,0.040864746,0.040528752,0.039918614,0.039431883,0.038282927,0.03721951,0.036151614,0.033797728,0.033357872,0.033856167,0.034989059,0.036779168,0.039273122
10/30/2025,0.043290488,0.042261614,0.040705111,0.039931595,0.039425048,0.038194109,0.0371662,0.03611557,0.033814946,0.033421718,0.03393758,0.035008361,0.036716137,0.039119334
10/29/2025,0.043695992,0.042497924,0.040373424,0.039450504,0.038863457,0.037248876,0.036050839,0.034972761,0.032678233,0.032325057,0.032896372,0.034002876,0.035791697,0.038301588
10/28/2025,0.043290488,0.042303131,0.040431365,0.039545718,0.03890172,0.037262191,0.036067671,0.034969806,0.032734028,0.032393857,0.032955038,0.03405272,0.03582917,0.038321432
10/27/2025,0.042986355,0.042172017,0.040502766,0.039614741,0.038925169,0.037254185,0.036055816,0.034973128,0.032780287,0.032508496,0.033167235,0.034319098,0.036138015,0.03869738
10/24/2025,0.042981297,0.042268564,0.04064587,0.039716629,0.039027541,0.037227411,0.035939972,0.034807933,0.032518728,0.032227674,0.032873235,0.034069041,0.035963356,0.038581614
10/23/2025,0.042682225,0.041960543,0.040633666,0.03979846,0.039182491,0.037344599,0.035962835,0.034745068,0.032289546,0.031903175,0.032536626,0.033731439,0.03563291,0.038241544
10/22/2025,0.042884982,0.042203424,0.040773632,0.039967963,0.039112323,0.037312316,0.035913114,0.034635564,0.032200833,0.031795273,0.03238437,0.033565227,0.035453424,0.038051587
10/21/2025,0.042175344,0.041741092,0.040691525,0.039941492,0.039134873,0.037226168,0.035795469,0.034540412,0.031979065,0.031537024,0.032034066,0.033201361,0.03509366,0.037726532
10/20/2025,0.042378098,0.041812611,0.040521761,0.039849909,0.039040591,0.037203594,0.035816435,0.03459988,0.032203467,0.031835319,0.032434431,0.033624125,0.035525288,0.038123561
10/17/2025,0.043589416,0.042751377,0.040928523,0.039996576,0.039182174,0.037279137,0.035846392,0.034596393,0.032143963,0.031775063,0.032411061,0.033654278,0.035613793,0.038310241
10/16/2025,0.043493246,0.042610615,0.041112394,0.04017421,0.039469153,0.037692045,0.036348294,0.035150412,0.032678571,0.032266219,0.032848908,0.034093228,0.036058343,0.03871659
10/15/2025,0.042479475,0.042056209,0.041102077,0.040326611,0.039286317,0.037574012,0.036199413,0.034919833,0.032443434,0.032033438,0.032598179,0.033828211,0.035767932,0.038391318
10/14/2025,0.042073966,0.041747269,0.040939428,0.040255591,0.03935405,0.037559883,0.036225935,0.035012284,0.032518021,0.032121388,0.032675658,0.03389201,0.035802879,0.038440808
10/13/2025,0.041864005,0.041622634,0.040925826,0.040307565,0.039407753,0.037636093,0.036323839,0.035124508,0.032654375,0.032220139,0.032737851,0.033875619,0.03573063,0.038338622
10/10/2025,0.041864005,0.04163002,0.040958241,0.040382087,0.03957442,0.038004098,0.036837346,0.035742411,0.033400878,0.033018686,0.033511591,0.034624598,0.036427412,0.038983157
10/9/2025,0.041769836,0.041551092,0.041040902,0.040328061,0.039585993,0.038082527,0.036970346,0.035904509,0.033639146,0.033282867,0.033813931,0.034963469,0.036836267,0.03944762
10/8/2025,0.041972587,0.041799855,0.041291452,0.040589363,0.039643556,0.038144548,0.036979444,0.035802522,0.033442658,0.033046903,0.0335978,0.034794273,0.03667618,0.039311714
10/7/2025,0.042073966,0.041893695,0.041342998,0.040670556,0.03981127,0.03822928,0.037053607,0.03595643,0.033592607,0.033239613,0.033805713,0.035020119,0.036928704,0.039553624
