Date,ON,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y
2023-04-05,-0.008500003,0.03444966582772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.034849853805445544,0.03879074367524753,0.037029281992079215,0.0356991986289604,0.034520904124504946,0.03338072215618812
2023-04-06,-0.008500003,0.03444312382772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03484274780544554,0.03877908067524753,0.037035339992079204,0.035704715628960396,0.034520904124504946,0.03338081415618813
2023-04-07,-0.008500009,0.03444639482772277,0.03436551688366336,0.03702571206336634,0.03491255239232673,0.03484714980544554,0.03878569067524752,0.037041399992079206,0.035704715628960396,0.034520904124504946,0.03338090715618812
2023-04-10,-0.008500003,0.03444966582772277,0.03435901088366337,0.03702571206336634,0.034921421392326735,0.03485268580544554,0.03879334267524752,0.03704746099207921,0.035704715628960396,0.03451074312450495,0.03338118315618813
2023-04-11,-0.008500003,0.03444966582772277,0.03436226388366336,0.03702571206336634,0.034921421392326735,0.034853252805445545,0.038793861675247523,0.03704746099207921,0.0356936826289604,0.034515823124504956,0.03338127515618812
2023-04-12,-0.008500003,0.03444966582772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03485381880544554,0.03879438167524753,0.037035339992079204,0.0356991986289604,0.034520904124504946,0.03338136715618813
2023-04-13,-0.008500003,0.03444312382772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03484668380544555,0.03878269867524753,0.037041399992079206,0.035704715628960396,0.034520904124504946,0.03338145915618812
2023-04-14,-0.008500009,0.03444639482772277,0.03436551688366336,0.03702571206336634,0.03491255239232673,0.03485110080544554,0.03878931867524753,0.03704746099207921,0.035704715628960396,0.034520904124504946,0.03338155115618813
2023-04-17,-0.008500003,0.03444966582772277,0.03435901088366337,0.03702571206336634,0.034921421392326735,0.034856651805445546,0.03879698067524752,0.03704746099207921,0.035704715628960396,0.03451074312450495,0.03338182715618812
2023-04-18,-0.008500003,0.03444966582772277,0.03436226388366336,0.03702571206336634,0.034921421392326735,0.03485721780544554,0.03879139267524753,0.03704746099207921,0.0356936826289604,0.034515823124504956,0.033381919156188114
2023-04-19,-0.008500003,0.03444966582772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.034857784805445546,0.03879802067524753,0.037035339992079204,0.0356991986289604,0.034520904124504946,0.03338201215618812
2023-04-20,-0.008500003,0.03444312382772277,0.03436551688366336,0.03702571206336634,0.034921421392326735,0.03485062080544554,0.038786317675247525,0.037041399992079206,0.035704715628960396,0.034520904124504946,0.033382104156188114
2023-04-21,-0.008500009,0.03444639482772277,0.03436551688366336,0.03702571206336634,0.03491255239232673,0.03485505180544554,0.03879294767524753,0.03704746099207921,0.035704715628960396,0.034520904124504946,0.03338219615618812
