CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
,,,,,2029-01-01,New Year's Day,,
,,,,,2029-02-12,Lunar NY Eve 1,,
,,,,,2029-02-13,Lunar New Year 1,,
,,,,,2029-02-14,Lunar New Year 2,,
,,,,,2012-05-01,Labour Day 1,,
,,,,,2029-02-15,Lunar New Year 3,,
,,,,,2029-02-16,Lunar New Year 4,,
,,,,,2029-02-17,Lunar New Year 5,,
,,,,,2029-02-18,Lunar New Year 6,,
,,,,,2029-04-05,Ching Ming Festival,,
,,,,,2029-05-01,Labour Day 1,,
,,,,,2029-06-16,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2029-09-22,Mid-autumn Festival*,,
,,,,,2029-10-01,National Day 1,,
,,,,,2029-10-02,National Day 2,,
,,,,,2012-06-23,CopyFromFormex,,
,,,,,2029-10-03,National Day 3,,
,,,,,2029-10-04,National Day 4,,
,,,,,2029-10-05,National Day 5,,
,,,,,2030-01-01,New Year's Day,,
,,,,,2030-02-02,Lunar NY Eve 1,,
,,,,,2030-02-03,Lunar New Year 1,,
,,,,,2030-02-04,Lunar New Year 2,,
,,,,,2030-02-05,Lunar New Year 3,,
,,,,,2030-02-06,Lunar New Year 4,,
,,,,,2030-02-07,Lunar New Year 5,,
,,,,,2012-10-01,National Day 1,,
,,,,,2030-02-08,Lunar New Year 6,,
,,,,,2030-04-05,Ching Ming Festival,,
,,,,,2030-05-01,Labour Day 1,,
,,,,,2030-06-05,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2030-09-12,Mid-autumn Festival*,,
,,,,,2030-10-01,National Day 1,,
,,,,,2030-10-02,National Day 2,,
,,,,,2030-10-03,National Day 3,,
,,,,,2030-10-04,National Day 4,,
,,,,,2030-10-05,National Day 5,,
,,,,,2012-10-02,National Day 2,,
,,,,,2031-01-01,New Year's Day,,
,,,,,2031-01-22,Lunar NY Eve 1,,
,,,,,2031-01-23,Lunar New Year 1,,
,,,,,2031-01-24,Lunar New Year 2,,
,,,,,2031-01-25,Lunar New Year 3,,
,,,,,2031-01-26,Lunar New Year 4,,
,,,,,2031-01-27,Lunar New Year 5,,
,,,,,2031-01-28,Lunar New Year 6,,
,,,,,2031-04-05,Ching Ming Festival,,
,,,,,2031-05-01,Labour Day 1,,
,,,,,2012-10-03,National Day 3,,
,,,,,2031-06-24,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2031-10-01,"National Day 1,Mid-autumn Festival*",,
,,,,,2031-10-02,National Day 2,,
,,,,,2031-10-03,National Day 3,,
,,,,,2031-10-04,National Day 4,,
,,,,,2031-10-05,National Day 5,,
,,,,,2032-01-01,New Year's Day,,
,,,,,2032-02-10,Lunar NY Eve 1,,
,,,,,2032-02-11,Lunar New Year 1,,
,,,,,2032-02-12,Lunar New Year 2,,
,,,,,2012-10-04,National Day 4,,
,,,,,2032-02-13,Lunar New Year 3,,
,,,,,2032-02-14,Lunar New Year 4,,
,,,,,2032-02-15,Lunar New Year 5,,
,,,,,2032-02-16,Lunar New Year 6,,
,,,,,2032-04-05,Ching Ming Festival,,
,,,,,2032-05-01,Labour Day 1,,
,,,,,2032-06-12,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2032-09-19,Mid-autumn Festival*,,
,,,,,2032-10-01,National Day 1,,
,,,,,2032-10-02,National Day 2,,
,,,,,2012-10-05,National Day 5,,
,,,,,2032-10-03,National Day 3,,
,,,,,2032-10-04,National Day 4,,
,,,,,2032-10-05,National Day 5,,
,,,,,2033-01-03,New Year's Day OBS,,
,,,,,2033-01-30,Lunar NY Eve 1,,
,,,,,2033-01-31,Lunar New Year 1,,
,,,,,2033-02-01,Lunar New Year 2,,
,,,,,2033-02-02,Lunar New Year 3,,
,,,,,2033-02-03,Lunar New Year 4,,
,,,,,2033-02-04,Lunar New Year 5,,
,,,,,1998-01-01,New Year's Day,,
,,,,,2009-01-29,Lunar New Year 4,,
,,,,,2033-02-05,Lunar New Year 6,,
,,,,,2033-04-05,Ching Ming Festival,,
,,,,,2033-05-01,Labour Day 1,,
,,,,,2033-06-01,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2033-09-08,Mid-autumn Festival*,,
,,,,,2033-10-01,National Day 1,,
,,,,,2033-10-02,National Day 2,,
,,,,,2033-10-03,National Day 3,,
,,,,,2033-10-04,National Day 4,,
,,,,,2033-10-05,National Day 5,,
,,,,,1998-01-28,Lunar New Year 1,,
,,,,,2034-01-02,New Year's Day OBS,,
,,,,,2034-02-18,Lunar NY Eve 1,,
,,,,,2034-02-19,Lunar New Year 1,,
,,,,,2034-02-20,Lunar New Year 2,,
,,,,,2034-02-21,Lunar New Year 3,,
,,,,,2034-02-22,Lunar New Year 4,,
,,,,,2034-02-23,Lunar New Year 5,,
,,,,,2034-02-24,Lunar New Year 6,,
,,,,,2034-04-05,Ching Ming Festival,,
,,,,,2034-05-01,Labour Day 1,,
,,,,,1998-01-29,Lunar New Year 2,,
,,,,,2034-06-20,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2034-09-27,Mid-autumn Festival*,,
,,,,,2034-10-01,National Day 1,,
,,,,,2034-10-02,National Day 2,,
,,,,,2034-10-03,National Day 3,,
,,,,,2034-10-04,National Day 4,,
,,,,,2034-10-05,National Day 5,,
,,,,,2035-01-01,New Year's Day,,
,,,,,2035-02-07,Lunar NY Eve 1,,
,,,,,2035-02-08,Lunar New Year 1,,
,,,,,1998-01-30,Lunar New Year 3,,
,,,,,2035-02-09,Lunar New Year 2,,
,,,,,2035-02-10,Lunar New Year 3,,
,,,,,2035-02-11,Lunar New Year 4,,
,,,,,2035-02-12,Lunar New Year 5,,
,,,,,2035-02-13,Lunar New Year 6,,
,,,,,2035-04-05,Ching Ming Festival,,
,,,,,2035-05-01,Labour Day 1,,
,,,,,2035-06-11,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2035-09-16,Mid-autumn Festival*,,
,,,,,2035-10-01,National Day 1,,
,,,,,1998-05-01,Labour Day 1,,
,,,,,2035-10-02,National Day 2,,
,,,,,2035-10-03,National Day 3,,
,,,,,2035-10-04,National Day 4,,
,,,,,2035-10-05,National Day 5,,
,,,,,2036-01-01,New Year's Day,,
,,,,,2036-01-27,Lunar NY Eve 1,,
,,,,,2036-01-28,Lunar New Year 1,,
,,,,,2036-01-29,Lunar New Year 2,,
,,,,,2036-01-30,Lunar New Year 3,,
,,,,,2036-01-31,Lunar New Year 4,,
,,,,,1998-05-02,Labour Day Holiday,,
,,,,,2036-02-01,Lunar New Year 5,,
,,,,,2036-02-02,Lunar New Year 6,,
,,,,,2036-04-04,Ching Ming Festival,,
,,,,,2036-05-01,Labour Day 1,,
,,,,,2036-05-30,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2036-10-01,National Day 1,,
,,,,,2036-10-02,National Day 2,,
,,,,,2036-10-03,National Day 3,,
,,,,,2036-10-04,National Day 4,,
,,,,,2036-10-05,"National Day 5,Mid-autumn Festival*",,
,,,,,1998-05-03,Labour Day Holiday 2,,
,,,,,2037-01-01,New Year's Day,,
,,,,,2037-02-14,Lunar NY Eve 1,,
,,,,,2037-02-15,Lunar New Year 1,,
,,,,,2037-02-16,Lunar New Year 2,,
,,,,,2037-02-17,Lunar New Year 3,,
,,,,,2037-02-18,Lunar New Year 4,,
,,,,,2037-02-19,Lunar New Year 5,,
,,,,,2037-02-20,Lunar New Year 6,,
,,,,,2037-04-05,Ching Ming Festival,,
,,,,,2037-05-01,Labour Day 1,,
,,,,,1998-05-04,Labour Day 4,,
,,,,,2037-06-18,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2037-09-24,Mid-autumn Festival*,,
,,,,,2037-10-01,National Day 1,,
,,,,,2037-10-02,National Day 2,,
,,,,,2037-10-03,National Day 3,,
,,,,,2037-10-04,National Day 4,,
,,,,,2037-10-05,National Day 5,,
,,,,,2038-01-01,New Year's Day,,
,,,,,2038-02-03,Lunar NY Eve 1,,
,,,,,2038-02-04,Lunar New Year 1,,
,,,,,1998-05-05,Labour Day 5,,
,,,,,2038-02-05,Lunar New Year 2,,
,,,,,2038-02-06,Lunar New Year 3,,
,,,,,2038-02-07,Lunar New Year 4,,
,,,,,2038-02-08,Lunar New Year 5,,
,,,,,2038-02-09,Lunar New Year 6,,
,,,,,2038-04-05,Ching Ming Festival,,
,,,,,2038-05-01,Labour Day 1,,
,,,,,2038-06-07,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2038-09-13,Mid-autumn Festival*,,
,,,,,2038-10-01,National Day 1,,
,,,,,1998-05-06,Labour Day 6,,
,,,,,2038-10-02,National Day 2,,
,,,,,2038-10-03,National Day 3,,
,,,,,2038-10-04,National Day 4,,
,,,,,2038-10-05,National Day 5,,
,,,,,2039-01-03,New Year's Day OBS,,
,,,,,2039-01-23,Lunar NY Eve 1,,
,,,,,2039-01-24,Lunar New Year 1,,
,,,,,2039-01-25,Lunar New Year 2,,
,,,,,2039-01-26,Lunar New Year 3,,
,,,,,2039-01-27,Lunar New Year 4,,
,,,,,1998-05-07,Labour Day 7,,
,,,,,2009-01-30,Lunar New Year 5,,
,,,,,2039-01-28,Lunar New Year 5,,
,,,,,2039-01-29,Lunar New Year 6,,
,,,,,2039-04-05,Ching Ming Festival,,
,,,,,2039-05-01,Labour Day 1,,
,,,,,2039-05-27,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2039-10-01,National Day 1,,
,,,,,2039-10-02,"National Day 2,Mid-autumn Festival*",,
,,,,,2039-10-03,National Day 3,,
,,,,,2039-10-04,National Day 4,,
,,,,,2039-10-05,National Day 5,,
,,,,,1998-10-01,National Day 1,,
,,,,,2040-01-02,New Year's Day OBS,,
,,,,,2040-02-11,Lunar NY Eve 1,,
,,,,,2040-02-12,Lunar New Year 1,,
,,,,,2040-02-13,Lunar New Year 2,,
,,,,,2040-02-14,Lunar New Year 3,,
,,,,,2040-02-15,Lunar New Year 4,,
,,,,,2040-02-16,Lunar New Year 5,,
,,,,,2040-02-17,Lunar New Year 6,,
,,,,,2040-04-04,Ching Ming Festival,,
,,,,,2040-05-01,Labour Day 1,,
,,,,,1998-10-02,National Day 2,,
,,,,,2040-06-14,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2040-09-20,Mid-autumn Festival*,,
,,,,,2040-10-01,National Day 1,,
,,,,,2040-10-02,National Day 2,,
,,,,,2040-10-03,National Day 3,,
,,,,,2040-10-04,National Day 4,,
,,,,,2040-10-05,National Day 5,,
,,,,,2041-01-01,New Year's Day,,
,,,,,2041-01-31,Lunar NY Eve 1,,
,,,,,2041-02-01,Lunar New Year 1,,
,,,,,1998-10-03,National Day 3,,
,,,,,2041-02-02,Lunar New Year 2,,
,,,,,2041-02-03,Lunar New Year 3,,
,,,,,2041-02-04,Lunar New Year 4,,
,,,,,2041-02-05,Lunar New Year 5,,
,,,,,2041-02-06,Lunar New Year 6,,
,,,,,2041-04-05,Ching Ming Festival,,
,,,,,2041-05-01,Labour Day 1,,
,,,,,2041-06-03,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2041-09-10,Mid-autumn Festival*,,
,,,,,2041-10-01,National Day 1,,
,,,,,1998-10-04,National Day 4,,
,,,,,2041-10-02,National Day 2,,
,,,,,2041-10-03,National Day 3,,
,,,,,2041-10-04,National Day 4,,
,,,,,2041-10-05,National Day 5,,
,,,,,2042-01-01,New Year's Day,,
,,,,,2042-01-21,Lunar NY Eve 1,,
,,,,,2042-01-22,Lunar New Year 1,,
,,,,,2042-01-23,Lunar New Year 2,,
,,,,,2042-01-24,Lunar New Year 3,,
,,,,,2042-01-25,Lunar New Year 4,,
,,,,,1998-10-05,National Day 5,,
,,,,,2042-01-26,Lunar New Year 5,,
,,,,,2042-01-27,Lunar New Year 6,,
,,,,,2042-04-05,Ching Ming Festival,,
,,,,,2042-05-01,Labour Day 1,,
,,,,,2042-06-22,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2042-09-28,Mid-autumn Festival*,,
,,,,,2042-10-01,National Day 1,,
,,,,,2042-10-02,National Day 2,,
,,,,,2042-10-03,National Day 3,,
,,,,,2042-10-04,National Day 4,,
,,,,,1998-10-06,National Day 6,,
,,,,,2042-10-05,National Day 5,,
,,,,,2043-01-01,New Year's Day,,
,,,,,2043-02-09,Lunar NY Eve 1,,
,,,,,2043-02-10,Lunar New Year 1,,
,,,,,2043-02-11,Lunar New Year 2,,
,,,,,2043-02-12,Lunar New Year 3,,
,,,,,2043-02-13,Lunar New Year 4,,
,,,,,2043-02-14,Lunar New Year 5,,
,,,,,2043-02-15,Lunar New Year 6,,
,,,,,2043-04-05,Ching Ming Festival,,
,,,,,1998-10-07,National Day 7,,
,,,,,2043-05-01,Labour Day 1,,
,,,,,2043-06-11,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2043-09-17,Mid-autumn Festival*,,
,,,,,2043-10-01,National Day 1,,
,,,,,2043-10-02,National Day 2,,
,,,,,2043-10-03,National Day 3,,
,,,,,2043-10-04,National Day 4,,
,,,,,2043-10-05,National Day 5,,
,,,,,2044-01-01,New Year's Day,,
,,,,,2044-01-29,Lunar NY Eve 1,,
,,,,,1999-01-01,New Year's Day,,
,,,,,2044-01-30,Lunar New Year 1,,
,,,,,2044-01-31,Lunar New Year 2,,
,,,,,2044-02-01,Lunar New Year 3,,
,,,,,2044-02-02,Lunar New Year 4,,
,,,,,2044-02-03,Lunar New Year 5,,
,,,,,2044-02-04,Lunar New Year 6,,
,,,,,2044-04-04,Ching Ming Festival,,
,,,,,2044-05-01,Labour Day 1,,
,,,,,2044-05-31,Dragon Boat Festival (Tuen Ng Day)*,,
,,,,,2044-08-05,Mid-autumn Festival*,,
,,,,,1999-02-16,Lunar New Year 1,,
,,,,,2044-10-01,National Day 1,,
,,,,,2044-10-02,National Day 2,,
,,,,,2044-10-03,National Day 3,,
,,,,,2044-10-04,National Day 4,,
,,,,,2044-10-05,National Day 5,,
,,,,,1999-02-17,Lunar New Year 2,,
,,,,,2009-01-31,Lunar New Year 6,,
,,,,,1999-02-18,Lunar New Year 3,,
,,,,,1999-05-01,Labour Day 1,,
,,,,,1999-05-02,Labour Day Holiday,,
,,,,,1999-05-03,Labour Day Holiday 2,,
,,,,,1999-05-04,Labour Day 4,,
,,,,,1999-05-05,Labour Day 5,,
,,,,,1999-05-06,Labour Day 6,,
,,,,,1999-05-07,Labour Day 7,,
,,,,,1999-10-01,National Day 1,,
,,,,,1999-10-02,National Day 2,,
,,,,,2009-04-04,CopyFromFormex,,
,,,,,2022-01-02,,,
,,,,,2022-01-08,,,
,,,,,2022-01-09,,,
,,,,,2022-01-15,,,
,,,,,2022-01-16,,,
,,,,,2022-01-22,,,
,,,,,2022-01-23,,,
,,,,,2022-01-29,,,
,,,,,2022-01-30,,,
,,,,,2022-02-12,,,
,,,,,2022-02-13,,,
,,,,,2022-02-19,,,
,,,,,2022-02-20,,,
,,,,,2022-02-26,,,
,,,,,2022-02-27,,,
,,,,,2022-03-05,,,
,,,,,2022-03-06,,,
,,,,,2022-03-12,,,
,,,,,2022-03-13,,,
,,,,,2022-03-19,,,
,,,,,2022-03-20,,,
,,,,,2022-03-26,,,
,,,,,2022-03-27,,,
,,,,,2022-04-02,,,
,,,,,2022-04-03,,,
,,,,,2022-04-09,,,
,,,,,2022-04-10,,,
,,,,,2022-04-16,,,
,,,,,2022-04-17,,,
,,,,,2022-04-23,,,
,,,,,2022-04-24,,,
,,,,,2022-04-30,,,
,,,,,2022-05-07,,,
,,,,,2022-05-08,,,
,,,,,2022-05-14,,,
,,,,,2022-05-15,,,
,,,,,2022-05-21,,,
,,,,,2022-05-22,,,
,,,,,2022-05-28,,,
,,,,,2022-05-29,,,
,,,,,2022-06-04,,,
,,,,,2022-06-05,,,
,,,,,2022-06-11,,,
,,,,,2022-06-12,,,
,,,,,2022-06-18,,,
,,,,,2022-06-19,,,
,,,,,2022-06-25,,,
,,,,,2022-06-26,,,
,,,,,2022-07-02,,,
,,,,,2022-07-03,,,
,,,,,2022-07-09,,,
,,,,,2022-07-10,,,
,,,,,2022-07-16,,,
,,,,,2022-07-17,,,
,,,,,2022-07-23,,,
,,,,,2022-07-24,,,
,,,,,2022-07-30,,,
,,,,,2022-07-31,,,
,,,,,2022-08-06,,,
,,,,,2022-08-07,,,
,,,,,2022-08-13,,,
,,,,,2022-08-14,,,
,,,,,2022-08-20,,,
,,,,,2022-08-21,,,
,,,,,2022-08-27,,,
,,,,,2022-08-28,,,
,,,,,2022-09-03,,,
,,,,,2022-09-04,,,
,,,,,2022-09-10,,,
,,,,,2022-09-17,,,
,,,,,2022-09-18,,,
,,,,,2022-09-24,,,
,,,,,2022-09-25,,,
,,,,,2022-10-08,,,
,,,,,2022-10-09,,,
,,,,,2022-10-15,,,
,,,,,2022-10-16,,,
,,,,,2022-10-22,,,
,,,,,2022-10-23,,,
,,,,,2022-10-29,,,
,,,,,2022-10-30,,,
,,,,,2022-11-05,,,
,,,,,2022-11-06,,,
,,,,,2022-11-12,,,
,,,,,2022-11-13,,,
,,,,,2022-11-19,,,
,,,,,2022-11-20,,,
,,,,,2022-11-26,,,
,,,,,2022-11-27,,,
,,,,,2022-12-03,,,
,,,,,2022-12-04,,,
,,,,,2022-12-10,,,
,,,,,2022-12-11,,,
,,,,,2022-12-17,,,
,,,,,2022-12-18,,,
,,,,,2022-12-24,,,
,,,,,2022-12-25,,,
,,,,,2022-12-31,,,
,,,,,2022-01-01,,,
,,,,,2022-04-04,,,
,,,,,2022-04-14,,,
,,,,,2022-04-15,,,
,,,,,2022-04-18,,,
,,,,,2022-05-02,,,
,,,,,2022-05-03,,,
,,,,,2022-05-04,,,
,,,,,2022-05-06,,,
,,,,,2022-05-09,,,
,,,,,2022-06-30,,,
,,,,,2022-07-01,,,
,,,,,2022-09-12,,,
,,,,,2022-10-07,,,
,,,,,2022-10-06,,,
,,,,,2022-12-23,,,
,,,,,2022-12-26,,,
,,,,,2022-12-27,,,
,,,,,2023-05-02,,,
,,,,,2023-05-03,,,
,,,,,2023-06-23,,,
,,,,,2023-10-06,,,
,,,,,2023-10-07,,,
,,,,,2024-02-16,,,
,,,,,2024-04-05,,,
,,,,,2024-05-02,,,
,,,,,2024-05-03,,,
,,,,,2024-09-16,,,
,,,,,2024-10-07,,,
,Commodity Calendar,Commodity Calendar,,192,2022-06-29,,,
,,,,,2020-09-06,,,
,,,,,2020-09-13,,,
,,,,,2020-09-20,,,
,,,,,2024-01-01,,,
,,,,,2022-12-26,,,
,,,,,2024-12-25,,,
,Denmark,Denmark,2,192,2022-01-02,,,
,,,,,2022-01-08,,,
,,,,,2022-01-09,,,
,,,,,2022-01-15,,,
,,,,,2022-01-16,,,
,,,,,2022-01-22,,,
,,,,,2022-01-23,,,
,,,,,2022-01-29,,,
,,,,,2022-01-30,,,
,,,,,2022-02-05,,,
,,,,,2022-02-06,,,
,,,,,2022-02-12,,,
,,,,,2022-02-13,,,
,,,,,2022-02-19,,,
,,,,,2022-02-20,,,
,,,,,2022-02-26,,,
,,,,,2022-02-27,,,
,,,,,2022-03-05,,,
,,,,,2022-03-06,,,
,,,,,2022-03-12,,,
,,,,,2022-03-13,,,
,,,,,2022-03-19,,,
,,,,,2022-03-20,,,
,,,,,2022-03-26,,,
,,,,,2022-03-27,,,
,,,,,2022-04-02,,,
,,,,,2022-04-03,,,
,,,,,2022-04-09,,,
,,,,,2022-04-10,,,
,,,,,2022-04-16,,,
,,,,,2022-04-17,,,
,,,,,2022-04-23,,,
,,,,,2022-04-24,,,
,,,,,2022-04-30,,,
,,,,,2022-05-01,,,
,,,,,2022-05-07,,,
,,,,,2022-05-08,,,
,,,,,2022-05-14,,,
,,,,,2022-05-15,,,
,,,,,2022-05-21,,,
,,,,,2022-05-22,,,
,,,,,2022-05-28,,,
,,,,,2022-05-29,,,
,,,,,2022-06-04,,,
,,,,,2022-06-05,,,
,,,,,2022-06-11,,,
,,,,,2022-06-12,,,
,,,,,2022-06-18,,,
,,,,,2022-06-19,,,
,,,,,2022-06-25,,,
,,,,,2022-06-26,,,
,,,,,2022-07-02,,,
,,,,,2022-07-03,,,
,,,,,2022-07-09,,,
,,,,,2022-07-10,,,
,,,,,2022-07-16,,,
,,,,,2022-07-17,,,
,,,,,2022-07-23,,,
,,,,,2022-07-24,,,
,,,,,2022-07-30,,,
,,,,,2022-07-31,,,
,,,,,2022-08-06,,,
,,,,,2022-08-07,,,
,,,,,2022-08-13,,,
,,,,,2022-08-14,,,
,,,,,2022-08-20,,,
,,,,,2022-08-21,,,
,,,,,2022-08-27,,,
,,,,,2022-08-28,,,
,,,,,2022-09-03,,,
,,,,,2022-09-04,,,
,,,,,2022-09-10,,,
,,,,,2022-09-11,,,
,,,,,2022-09-17,,,
,,,,,2022-09-18,,,
,,,,,2022-09-24,,,
,,,,,2022-09-25,,,
,,,,,2022-10-01,,,
,,,,,2022-10-02,,,
,,,,,2022-10-08,,,
,,,,,2022-10-09,,,
,,,,,2022-10-15,,,
,,,,,2022-10-16,,,
,,,,,2022-10-22,,,
,,,,,2022-10-23,,,
,,,,,2022-10-29,,,
,,,,,2022-10-30,,,
,,,,,2022-11-05,,,
,,,,,2022-11-06,,,
,,,,,2022-11-12,,,
,,,,,2022-11-13,,,
,,,,,2022-11-19,,,
,,,,,2022-11-20,,,
,,,,,2022-11-26,,,
,,,,,2022-11-27,,,
,,,,,2022-12-03,,,
,,,,,2022-12-04,,,
,,,,,2022-12-10,,,
,,,,,2022-12-11,,,
,,,,,2022-12-17,,,
,,,,,2022-12-18,,,
,,,,,2022-12-24,,,
,,,,,2022-12-25,,,
,,,,,2022-12-31,,,
,,,,,2022-01-01,,,
,,,,,2022-04-14,,,
,,,,,2022-04-15,,,
,,,,,2022-04-18,,,
,,,,,2022-05-13,,,
,,,,,2022-05-26,,,
,,,,,2022-05-27,,,
,,,,,2022-12-26,,,
,,,,,2023-04-06,,,
,,,,,2023-04-07,,,
,,,,,2023-04-10,,,
,,,,,2023-05-05,,,
,,,,,2023-05-18,,,
,,,,,2023-05-19,,,
,,,,,2023-05-29,,,
,,,,,2023-06-05,,,
,,,,,2023-12-25,,,
,,,,,2023-12-26,,,
,,,,,2024-01-01,,,
,,,,,2024-03-28,,,
,,,,,2024-03-29,,,
,,,,,2024-04-01,,,
,,,,,2024-05-09,,,
,,,,,2024-05-10,,,
,,,,,2024-05-20,,,
,,,,,2024-06-05,,,
,,,,,2024-12-25,,,
,,,,,2024-12-26,,,
,,,,,2024-12-24,,,
,,,,,2024-12-31,,,
,Euro Zone,Target bank holidays to 2031,2,192,2000-01-01,,,
,,,,,2005-01-01,,,
,,,,,2005-12-25,,,
,,,,,2006-01-01,,,
,,,,,2006-12-25,,,
,,,,,2007-01-01,,,
,,,,,2007-12-25,,,
,,,,,2008-01-01,,,
,,,,,2008-12-25,,,
,,,,,2009-01-01,,,
,,,,,2009-12-25,,,
,,,,,2000-12-25,,,
,,,,,2010-01-01,,,
,,,,,2010-12-25,,,
,,,,,2011-01-01,,,
,,,,,2011-12-25,,,
,,,,,2012-01-01,,,
,,,,,2012-12-25,,,
,,,,,2013-01-01,,,
,,,,,2013-12-25,,,
,,,,,2014-01-01,,,
,,,,,2014-12-25,,,
,,,,,2001-01-01,,,
,,,,,2015-01-01,,,
,,,,,2015-12-25,,,
,,,,,2016-01-01,,,
,,,,,2016-12-25,,,
,,,,,2017-01-01,,,
,,,,,2017-12-25,,,
,,,,,2018-01-01,,,
,,,,,2018-12-25,,,
,,,,,2019-01-01,,,
,,,,,2019-12-25,,,
,,,,,2001-12-25,,,
,,,,,2020-01-01,,,
,,,,,2020-12-25,,,
,,,,,2021-01-01,,,
,,,,,2021-12-25,,,
,,,,,2022-01-01,,,
,,,,,2022-12-25,,,
,,,,,2023-01-01,,,
,,,,,2023-12-25,,,
,,,,,2024-01-01,,,
,,,,,2024-12-25,,,
,,,,,2002-01-01,,,
,,,,,2025-01-01,,,
,,,,,2025-12-25,,,
,,,,,2026-01-01,,,
,,,,,2026-12-25,,,
,,,,,2027-01-01,,,
,,,,,2027-12-25,,,
,,,,,2028-01-01,,,
,,,,,2028-12-25,,,
,,,,,2029-01-01,,,
,,,,,2029-12-25,,,
,,,,,2002-12-25,,,
,,,,,2030-01-01,,,
,,,,,2030-12-25,,,
,,,,,2031-01-01,,,
,,,,,2031-12-25,,,
,,,,,2003-01-01,,,
,,,,,2003-12-25,,,
,,,,,2004-01-01,,,
,,,,,2004-12-25,,,
,,,,,2022-01-02,,,
,,,,,2022-01-08,,,
,,,,,2022-01-09,,,
,,,,,2022-01-15,,,
,,,,,2022-01-16,,,
,,,,,2022-01-22,,,
,,,,,2022-01-23,,,
,,,,,2022-01-29,,,
,,,,,2022-01-30,,,
,,,,,2022-02-05,,,
,,,,,2022-02-06,,,
,,,,,2022-02-12,,,
,,,,,2022-02-13,,,
,,,,,2022-02-19,,,
,,,,,2022-02-20,,,
,,,,,2022-02-26,,,
,,,,,2022-02-27,,,
,,,,,2022-03-05,,,
,,,,,2022-03-06,,,
,,,,,2022-03-12,,,
,,,,,2022-03-13,,,
,,,,,2022-03-19,,,
,,,,,2022-03-20,,,
,,,,,2022-03-26,,,
,,,,,2022-03-27,,,
,,,,,2022-04-02,,,
,,,,,2022-04-03,,,
,,,,,2022-04-09,,,
,,,,,2022-04-10,,,
,,,,,2022-04-16,,,
,,,,,2022-04-17,,,
,,,,,2022-04-23,,,
,,,,,2022-04-24,,,
,,,,,2022-04-30,,,
,,,,,2022-05-01,,,
,,,,,2022-05-07,,,
,,,,,2022-05-08,,,
,,,,,2022-05-14,,,
,,,,,2022-05-15,,,
,,,,,2022-05-21,,,
,,,,,2022-05-22,,,
,,,,,2022-05-28,,,
,,,,,2022-05-29,,,
,,,,,2022-06-04,,,
,,,,,2022-06-05,,,
,,,,,2022-06-11,,,
,,,,,2022-06-12,,,
,,,,,2022-06-18,,,
,,,,,2022-06-19,,,
,,,,,2022-06-25,,,
,,,,,2022-06-26,,,
,,,,,2022-07-02,,,
,,,,,2022-07-03,,,
,,,,,2022-07-09,,,
,,,,,2022-07-10,,,
,,,,,2022-07-16,,,
,,,,,2022-07-17,,,
,,,,,2022-07-23,,,
,,,,,2022-07-24,,,
,,,,,2022-07-30,,,
,,,,,2022-07-31,,,
,,,,,2022-08-06,,,
,,,,,2022-08-07,,,
,,,,,2022-08-13,,,
,,,,,2022-08-14,,,
,,,,,2022-08-20,,,
,,,,,2022-08-21,,,
,,,,,2022-08-27,,,
,,,,,2022-08-28,,,
,,,,,2022-09-03,,,
,,,,,2022-09-04,,,
,,,,,2022-09-10,,,
,,,,,2022-09-11,,,
,,,,,2022-09-17,,,
,,,,,2022-09-18,,,
,,,,,2022-09-24,,,
,,,,,2022-09-25,,,
,,,,,2022-10-01,,,
,,,,,2022-10-02,,,
,,,,,2022-10-08,,,
,,,,,2022-10-09,,,
,,,,,2022-10-15,,,
,,,,,2022-10-16,,,
,,,,,2022-10-22,,,
,,,,,2022-10-23,,,
,,,,,2022-10-29,,,
,,,,,2022-10-30,,,
,,,,,2022-11-05,,,
,,,,,2022-11-06,,,
,,,,,2022-11-12,,,
,,,,,2022-11-13,,,
,,,,,2022-11-19,,,
,,,,,2022-11-20,,,
,,,,,2022-11-26,,,
,,,,,2022-11-27,,,
,,,,,2022-12-03,,,
,,,,,2022-12-04,,,
,,,,,2022-12-10,,,
,,,,,2022-12-11,,,
,,,,,2022-12-17,,,
,,,,,2022-12-18,,,
,,,,,2022-12-24,,,
,,,,,2022-12-31,,,
,,,,,2022-04-15,,,
