bond_id,face,issue_date,maturity_date,call_exercise_dates,put_exercise_dates,call_strike,put_strike,coupon_accrual,annual_coupon_rate,coupon_change_date,ref_curve,ref_tenor,margin_date,margin,floor,cap,coupon_type_change_date,style,group,is_tier2
VCB_BOND_RL15_2018_1,100,10/22/2018,10/24/2033,10/22/2028,,100,,1,0.08;0.085,10/22/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL10_2017_6,100,9/19/2017,9/20/2027,9/19/2022,,100,,1,0.075;0.08,9/19/2022,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2018_6,100,11/21/2018,11/21/2033,11/21/2028,,100,,1,0.08;0.085,11/21/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2018_3,100,10/29/2018,10/31/2033,10/29/2028,,100,,1,0.08;0.085,10/29/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2018_2,100,10/26/2018,10/26/2033,10/26/2028,,100,,1,0.08;0.085,10/26/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2017_8,100,11/6/2017,11/8/2032,11/6/2027,,100,,1,0.08;0.085,11/6/2027,,,,,,,,European,LB_G1,1
VCB_BOND_RL06_2018_10,100,11/20/2018,11/20/2024,11/20/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_08,100,11/14/2018,11/14/2024,11/14/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_06,100,11/8/2018,11/8/2024,11/8/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_05,100,11/6/2018,11/6/2024,11/6/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_04,100,11/2/2018,11/2/2024,11/2/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_02,100,10/26/2018,10/28/2024,10/26/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCB_BOND_RL06_2018_01,100,10/23/2018,10/23/2024,10/23/2019,,100,,1,,,SOB4,12M,,0.007,,,,European,LB_G1,1
VCBH2232007,100,8/24/2022,8/24/2032,8/24/2027,,100,,1,0.067;0.069,8/24/2027,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2018_5,100,11/19/2018,11/21/2033,11/19/2028,,100,,1,0.08;0.085,11/19/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2018_4,100,11/12/2018,11/14/2033,11/12/2028,,100,,1,0.08;0.085,11/12/2028,,,,,,,,European,LB_G1,1
VCB_BOND_RL15_2017_12,100,12/20/2017,12/20/2032,12/20/2027,,100,,1,0.08;0.085,12/20/2027,,,,,,,,European,LB_G1,1
VBA125019,100,7/29/2025,7/29/2035,7/29/2030,,100,,1,,,SOB4,12M,7/29/2030,0.018;0.03,,,,European,LB_G1,1
