bond_id,obs_date,dirty_amount,par_value,coupon_rate
TPBL2124006,5/31/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.038
TPBL2124005,5/28/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.038
MSBL2124001,5/18/2021,"1,000,000,000,000.00","1,000,000,000,000.00",0.04
VPBL2124012,4/29/2021,"500,053,424,500.00","500,000,000,000.00",0.039
VPBL2124011,4/27/2021,"500,053,424,500.00","500,000,000,000.00",0.039
TCBB2023003,12/23/2020,"2,000,219,178,000.00","2,000,000,000,000.00",0.04
TPBANKBOND_A4_171220,12/18/2020,"500,063,013,500.00","500,000,000,000.00",0.046
OCBH2023009,12/16/2020,"1,000,126,027,000.00","1,000,000,000,000.00",0.046
OCBH2023008,12/15/2020,"1,000,126,027,000.00","1,000,000,000,000.00",0.046
TPBANKBOND_A4_101220,12/11/2020,"500,063,013,500.00","500,000,000,000.00",0.046
