Date,ON,1W,2W,1M,2M,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y
2016-02-03,0.05639564296937117,0.0567690859001516,0.05713734401050978,0.05666599602395007,0.05653283147342937,0.05620329289063843,0.05561940127853452,0.05543161587990446,0.05524383048127441,0.05752790166021171,0.06254281641249648,0.07081431520444922,0.0742628585889395,0.07564776973906667,0.07564776973906667
2016-02-04,0.05779542398997463,0.0577679882023264,0.058334689512146036,0.05786028335056129,0.057127175301819495,0.056992053060806035,0.0558139065060157,0.05543161587990446,0.05504932525379323,0.05741913349272157,0.06198041910495683,0.07034054196362385,0.0735691702183146,0.0750426402540035,0.0750426402540035
2016-02-05,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-08,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-09,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-10,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-11,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-12,0.05639564296937117,0.05656930314336779,0.05653865063826669,0.05666599602395007,0.05653283147342937,0.056400497515126394,0.05464659129778089,0.0552397463508528,0.055832901403924697,0.057789822244075514,0.0628315773561679,0.07121038965750644,0.07477520772245522,0.07602539220835434,0.07602539220835434
2016-02-15,0.05399600587344499,0.05437164229712562,0.05434332397618476,0.05487434214160978,0.05474944666200433,0.054033400099169224,0.05484119115198444,0.05447199201102148,0.05410279287005851,0.056058231089217564,0.06111509587216793,0.06965615284413762,0.0734829153340877,0.07473330824583241,0.07473330824583241
2016-02-16,0.04779687035542967,0.04877717851180151,0.0499521160062867,0.051389804751682755,0.052370775383037006,0.05225715731680473,0.05347859437924297,0.0535116769861941,0.053544759593145225,0.05534558617177204,0.060532131018330014,0.06904267988231837,0.07284396273681591,0.07385632321161809,0.07385632321161809
2016-02-17,0.039797830239896,0.042282851698205066,0.043962912954171346,0.0479042552344494,0.04999116071721572,0.050480125424408856,0.0523099149537024,0.05274292666460508,0.053175938375507756,0.05561996871742231,0.06069772728619494,0.06931617153008485,0.0726758322617195,0.07399132974205075,0.07399132974205075
2016-02-18,0.03179861482014265,0.033589179004495706,0.03597516806183908,0.04172736695453448,0.046122272888375754,0.049196222348067885,0.05211506863857928,0.05197373285451189,0.05183239707044451,0.054227179123966816,0.05906105030892169,0.06699122599401866,0.07208433938059189,0.07336236506880875,0.07336236506880875
2016-02-19,0.024999143874707377,0.0285921594148219,0.0333786239531956,0.03933545956658418,0.045328346424655684,0.04870230372053412,0.051335493497155694,0.05130032406904827,0.05126515464094084,0.05419416464208566,0.058644605971895816,0.06698359690518985,0.07177191113472589,0.07306337096347018,0.07306337096347018
2016-02-22,0.01999945207483286,0.02379457003580008,0.02878410463638591,0.03843837136495202,0.04463357458199057,0.048307124901797636,0.051335493497155694,0.05178136504693095,0.05222723659670621,0.05520629025572708,0.05981321614076381,0.06834959431751392,0.07313943350097026,0.07429652847502362,0.07429652847502362
2016-02-23,0.01999945207483286,0.02299492888843293,0.0279849751401264,0.0381393270606936,0.044335790591126766,0.048208324096565225,0.049872970580063264,0.05033772114905533,0.05080247171804739,0.05389000626504886,0.058696680291392495,0.0672198095125842,0.07168731944775114,0.07299380433410835,0.07299380433410835
2016-02-24,0.019799462978282573,0.02179544417386512,0.027285716737143497,0.03873740821710865,0.045626081159609935,0.04850471919136209,0.0501655607349265,0.05043401271997395,0.0507024647050214,0.05360270334492546,0.05840367303135597,0.06679636744206516,0.07169621382642491,0.07272535269568488,0.07272535269568488
2016-02-25,0.01799955617901635,0.021995360209141362,0.02698602882310706,0.03774058972887465,0.044335790591126766,0.04771428346109538,0.049872970580063264,0.05053029733734435,0.051187624094625434,0.053803283014084845,0.058231694461105966,0.06654697004309965,0.07153369193222131,0.07292938456272838,0.07292938456272838
2016-02-26,0.017599575684880967,0.022395189980244,0.027585401206350973,0.03833869075823146,0.044335790591126766,0.048208324096565225,0.04938522518074282,0.04985615895608356,0.05032709273142429,0.05310769026583364,0.05757799931671809,0.06586692693922448,0.07056898103798062,0.07199272298019813,0.07199272298019813
2016-02-29,0.014599708007816025,0.021195691469161934,0.02718582114856281,0.039534803393161046,0.04463357458199057,0.048208324096565225,0.04938522518074282,0.04985615895608356,0.05032709273142429,0.05297383512994949,0.05739288253372423,0.06576696570531705,0.07027849342779505,0.07184128438523707,0.07184128438523707
2016-03-01,0.025999074016564382,0.030491083271467566,0.03477679522212113,0.042723854337087225,0.045626081159609935,0.04810952085087381,0.04919009371076023,0.04966348536888851,0.05013687702701679,0.05274805099510558,0.057213094715953774,0.06528901182815941,0.06996952800300582,0.0714094787021434,0.0714094787021434
2016-03-02,0.0324985531680894,0.03578771592368045,0.039270409376651834,0.04441769300176689,0.04641996823033229,0.04870230372053412,0.04997050538781719,0.050626575002171575,0.05128264461652596,0.05401525687409743,0.058374936373877195,0.0662876260776706,0.07104646604821183,0.07248556113158072,0.07248556113158072
2016-03-03,0.03659816510900054,0.038186014117989796,0.04076810866476165,0.04531433433319607,0.04661842358616441,0.048208324096565225,0.049677886693837554,0.05033772114905533,0.0509975556042731,0.05375703131202327,0.05810686624131602,0.06614391251461665,0.07069293211455292,0.0722502452795904,0.0722502452795904
2016-03-04,0.04329743186059701,0.04428119225455955,0.0449612090133537,0.04820305629520783,0.04939610955885829,0.049887605981281696,0.0501655607349265,0.05043401271997395,0.0507024647050214,0.05349369658585936,0.05780322255340528,0.06561199556169205,0.07025974666199597,0.07200301317393748,0.07200301317393748
2016-03-07,0.048796738044170444,0.05057546447449034,0.050550960646331,0.05069277583723472,0.05058615286711279,0.05127001484245727,0.05114055222306017,0.051011616156120404,0.05088268008918064,0.05349431512714942,0.05796807673102328,0.06550820050588785,0.06955633961872681,0.07158768385489123,0.07158768385489123
